;nome;num_colecao;extras;lingua;condicao;size;preco_unitario;preco_total
479;hoothoot;(60, 111);;inglês;sp;1;0.49;0.49
480;ledyba;(63, 111);;inglês;sp;1;0.45;0.45
481;mantine;(64, 111);;inglês;sp;2;0.19;0.38
482;marill;(66, 111);;inglês;nm;1;0.49;0.49
483;marill;(66, 111);;inglês;sp;1;0.5;0.5
484;onix;(69, 111);;inglês;sp;1;0.49;0.49
485;pikachu;(70, 111);edition one;inglês;nm;1;;
486;pikachu;(70, 111);;inglês;sp;1;0.9;0.9
487;slowpoke;(73, 111);edition one;inglês;m;1;;
488;sudowoodo;(77, 111);edition one;inglês;nm;1;;
489;totodile;(81, 111);;inglês;nm;1;;
490;wooper;(82, 111);edition one;inglês;nm;1;;
491;gold berry;(93, 111);;inglês;nm;1;;
492;professor elm;(96, 111);;inglês;sp;1;11.9;11.9
493;professor elm;(96, 111);;inglês;mp;1;10.9;10.9
494;berry;(99, 111);;inglês;nm;2;0.49;0.98
495;berry;(99, 111);;inglês;sp;1;0.18;0.18
496;double gust;(100, 111);;inglês;sp;1;0.92;0.92
497;moo-moo milk;(101, 111);;inglês;sp;1;0.09;0.09
498;moo-moo milk;(101, 111);;inglês;mp;2;0.27;0.54
499;moo-moo milk;(101, 111);;inglês;d;2;0.31;0.62
500;super rod;(103, 111);;inglês;m;1;;
501;super rod;(103, 111);;inglês;nm;2;0.54;1.08
502;super rod;(103, 111);;inglês;sp;3;0.21;0.63
503;fighting energy;(106, 111);;inglês;sp;12;0.23;2.76
504;fighting energy;(106, 111);;inglês;mp;1;0.75;0.75
505;fire energy;(107, 111);;inglês;nm;17;0.9;15.3
506;fire energy;(107, 111);;inglês;sp;2;1.0;2.0
507;fire energy;(107, 111);;inglês;mp;1;0.14;0.14
508;grass energy;(108, 111);edition one;inglês;nm;1;9.49;9.49
509;grass energy;(108, 111);;inglês;sp;12;0.5;6.0
510;grass energy;(108, 111);;inglês;d;4;;
511;lightning energy;(109, 111);;inglês;nm;1;1.5;1.5
512;lightning energy;(109, 111);;inglês;mp;1;0.54;0.54
513;psychic energy;(110, 111);;inglês;m;3;;
514;psychic energy;(110, 111);;inglês;nm;5;0.9;4.5
515;psychic energy;(110, 111);;inglês;sp;8;0.63;5.04
516;psychic energy;(110, 111);;inglês;mp;3;0.59;1.77
517;psychic energy;(110, 111);;inglês;d;5;;
518;water energy;(111, 111);;inglês;sp;7;0.5;3.5
519;water energy;(111, 111);;inglês;mp;2;0.45;0.9
520;water energy;(111, 111);;inglês;d;2;0.35;0.7
521;hitmontop;(3, 75);foil;inglês;d;1;24.5;24.5
522;unown a;(14, 75);foil;inglês;d;1;4.5;4.5
523;butterfree;(19, 75);;inglês;sp;1;12.5;12.5
524;espeon;(20, 75);;inglês;hp;1;30.0;30.0
525;eevee;(38, 75);;inglês;d;1;5.9;5.9
526;metapod;(42, 75);;inglês;sp;2;0.43;0.86
527;omastar;(43, 75);;inglês;d;2;3.9;7.8
528;pupitar;(45, 75);;inglês;sp;2;4.7;9.4
529;scyther;(46, 75);;inglês;sp;2;3.59;7.18
530;scyther;(46, 75);;inglês;mp;1;4.5;4.5
531;unown n;(50, 75);;inglês;mp;1;2.0;2.0
532;xatu;(52, 75);;inglês;d;1;0.18;0.18
533;caterpie;(53, 75);;inglês;sp;4;0.25;1.0
534;larvitar;(57, 75);;inglês;sp;3;0.4;1.2
535;natu;(59, 75);;inglês;sp;1;0.25;0.25
536;natu;(59, 75);;inglês;mp;1;0.3;0.3
537;omanyte;(60, 75);;inglês;sp;2;0.49;0.98
538;omanyte;(60, 75);;inglês;mp;1;0.5;0.5
539;sentret;(63, 75);;inglês;sp;4;0.2;0.8
540;teddiursa;(65, 75);;inglês;d;2;;
541;tyrogue;(66, 75);;inglês;sp;2;0.5;1.0
542;tyrogue;(66, 75);;inglês;mp;2;0.23;0.46
543;unown e;(67, 75);;inglês;nm;1;0.7;0.7
544;unown i;(68, 75);;inglês;sp;2;0.7;1.4
545;fossil egg;(72, 75);;inglês;sp;1;0.7;0.7
546;fossil egg;(72, 75);;inglês;mp;1;0.49;0.49
547;hyper devolution spray;(73, 75);;inglês;sp;1;0.98;0.98
548;energy ark;(75, 75);;inglês;sp;1;0.14;0.14
549;energy ark;(75, 75);;inglês;mp;2;1.5;3.0
550;energy ark;(75, 75);;inglês;d;1;0.5;0.5
551;sneasel;(24, 64);;inglês;nm;1;;
552;suicune;(27, 64);;inglês;sp;1;49.9;49.9
553;flaaffy;(28, 64);;inglês;sp;2;0.99;1.98
554;golbat;(29, 64);;inglês;mp;1;0.7;0.7
555;graveler;(30, 64);;inglês;nm;1;0.49;0.49
556;graveler;(30, 64);;inglês;sp;1;1.0;1.0
557;magcargo;(33, 64);;inglês;nm;1;5.5;5.5
558;piloswine;(36, 64);;inglês;d;1;3.9;3.9
559;seaking;(37, 64);;inglês;d;1;;
560;stantler;(38, 64);;inglês;sp;1;0.49;0.49
561;aipom;(41, 64);;inglês;sp;1;0.39;0.39
562;chinchou;(42, 64);;inglês;nm;1;0.25;0.25
563;chinchou;(42, 64);;inglês;d;1;;
564;farfetch'd;(43, 64);;inglês;nm;1;0.49;0.49
565;farfetch'd;(43, 64);;inglês;sp;1;0.19;0.19
566;geodude;(44, 64);;inglês;sp;1;0.29;0.29
567;goldeen;(45, 64);;inglês;sp;1;0.19;0.19
568;murkrow;(46, 64);;inglês;d;1;1.9;1.9
569;paras;(47, 64);;inglês;nm;1;0.5;0.5
570;quagsire;(48, 64);;inglês;sp;1;0.39;0.39
571;qwilfish;(49, 64);;inglês;nm;1;0.49;0.49
572;qwilfish;(49, 64);;inglês;sp;2;0.39;0.78
573;remoraid;(50, 64);;inglês;sp;2;0.5;1.0
574;shuckle;(51, 64);;inglês;sp;1;0.2;0.2
575;skiploom;(52, 64);;inglês;sp;1;0.44;0.44
576;slugma;(53, 64);;inglês;d;1;1.9;1.9
577;slugma;(53, 64);;inglês;sp;1;0.2;0.2
578;smoochum;(54, 64);;inglês;nm;1;1.0;1.0
579;snubbull;(55, 64);;inglês;sp;1;0.49;0.49
580;staryu;(56, 64);;inglês;mp;1;2.5;2.5
581;swinub;(57, 64);;inglês;nm;1;0.49;0.49
582;swinub;(57, 64);;inglês;sp;1;0.39;0.39
583;unown k;(58, 64);;inglês;mp;1;0.39;0.39
584;balloon berry;(60, 64);;inglês;sp;1;1.49;1.49
585;healing field;(61, 64);;inglês;d;1;0.49;0.49
586;pokémon breeder fields;(62, 64);;inglês;sp;1;2.49;2.49
587;rocket's hideout;(63, 64);;inglês;nm;1;3.15;3.15
588;rocket's hideout;(63, 64);;inglês;sp;1;1.5;1.5
589;old rod;(64, 64);;inglês;nm;1;0.23;0.23
590;alakazam;(1, 165);foil;inglês;nm;1;;
591;magby;(17, 165);foil;inglês;nm;1;;
592;mew;(19, 165);foil;inglês;nm;1;;
593;ninetales;(21, 165);foil;inglês;nm;1;;
594;tyranitar;(29, 165);reverse foil;inglês;nm;1;;
595;alakazam;(33, 165);;inglês;m;1;;
596;alakazam;(33, 165);;inglês;nm;1;24.5;24.5
597;arbok;(35, 165);;inglês;nm;1;;
598;clefable;(41, 165);reverse foil;inglês;nm;1;;
599;clefable;(41, 165);;inglês;m;1;;
600;fearow;(45, 165);;inglês;nm;1;8.99;8.99
601;feraligatr;(47, 165);;inglês;nm;1;;
602;machamp;(51, 165);;inglês;nm;1;15.0;15.0
603;mew;(55, 165);;inglês;nm;1;;
604;rapidash;(62, 165);;inglês;d;1;;
605;typhlosion;(65, 165);;inglês;sp;1;;
606;bayleef;(71, 165);;inglês;sp;1;;
607;chansey;(72, 165);;inglês;m;2;;
608;croconaw;(74, 165);;inglês;nm;1;8.5;8.5
609;dragonair;(75, 165);reverse foil;inglês;nm;1;;
610;haunter;(80, 165);;inglês;nm;2;2.49;4.98
611;ivysaur;(82, 165);;inglês;nm;1;;
612;kadabra;(84, 165);;inglês;m;1;;
613;kadabra;(84, 165);;inglês;nm;1;;
614;machoke;(85, 165);;inglês;nm;1;2.99;2.99
615;magmar;(86, 165);;inglês;sp;2;4.94;9.88
616;metapod;(87, 165);;inglês;nm;1;9.9;9.9
617;metapod;(87, 165);;inglês;sp;1;1.99;1.99
618;poliwhirl;(89, 165);;inglês;sp;1;;
619;wartortle;(92, 165);reverse foil;inglês;nm;1;;
620;abra;(93, 165);;inglês;nm;4;1.0;4.0
621;bulbasaur;(94, 165);;inglês;nm;1;13.5;13.5
622;chikorita;(99, 165);;inglês;nm;1;1.99;1.99
623;chikorita;(100, 165);;inglês;d;1;;
624;clefairy;(101, 165);;inglês;m;2;;
625;clefairy;(101, 165);;inglês;nm;1;0.99;0.99
626;corsola;(102, 165);;inglês;nm;2;1.0;2.0
627;cyndaquil;(104, 165);;inglês;nm;1;7.0;7.0
628;cyndaquil;(105, 165);reverse foil;inglês;nm;1;;
629;cyndaquil;(105, 165);;inglês;nm;1;1.99;1.99
630;ekans;(108, 165);;inglês;nm;1;2.0;2.0
631;gastly;(109, 165);;inglês;nm;4;1.5;6.0
632;geodude;(110, 165);;inglês;nm;1;1.0;1.0
633;geodude;(110, 165);;inglês;sp;2;1.0;2.0
634;krabby;(115, 165);;inglês;nm;1;1.49;1.49
635;krabby;(115, 165);;inglês;d;1;0.49;0.49
636;machop;(117, 165);;inglês;nm;1;3.0;3.0
637;marill;(120, 165);;inglês;nm;2;1.99;3.98
638;marill;(120, 165);;inglês;sp;1;4.5;4.5
639;meowth;(121, 165);;inglês;nm;2;1.0;2.0
640;pidgey;(123, 165);;inglês;nm;1;5.49;5.49
641;ponyta;(126, 165);;inglês;sp;1;0.8;0.8
642;shellder;(129, 165);;inglês;nm;1;2.5;2.5
643;spearow;(130, 165);;inglês;mp;1;;
644;squirtle;(132, 165);;inglês;nm;1;;
645;tauros;(133, 165);;inglês;d;1;;
646;totodile;(135, 165);reverse foil;inglês;nm;1;69.95;69.95
647;totodile;(135, 165);;inglês;nm;1;;
648;vulpix;(136, 165);;inglês;nm;1;2.49;2.49
649;vulpix;(136, 165);;inglês;sp;1;8.9;8.9
650;copycat;(138, 165);reverse foil;inglês;nm;1;;
651;copycat;(138, 165);;inglês;nm;2;4.5;9.0
652;pokémon nurse;(145, 165);;inglês;nm;1;7.99;7.99
653;pokémon reversal;(146, 165);;inglês;nm;1;;
654;professor elm's training method;(148, 165);;inglês;nm;2;9.9;19.8
655;professor elm's training method;(148, 165);;inglês;d;1;5.9;5.9
656;strength charm;(150, 165);reverse foil;inglês;mp;1;;
657;strength charm;(150, 165);;inglês;mp;1;3.99;3.99
658;super scoop up;(151, 165);;inglês;sp;1;;
659;warp point;(152, 165);;inglês;nm;1;10.0;10.0
660;energy search;(153, 165);;inglês;nm;3;1.25;3.75
661;full heal;(154, 165);;inglês;nm;3;1.0;3.0
662;moo-moo milk;(155, 165);;inglês;nm;4;1.0;4.0
663;moo-moo milk;(155, 165);;inglês;mp;1;0.5;0.5
664;potion;(156, 165);;inglês;nm;1;0.8;0.8
665;potion;(156, 165);;inglês;d;1;;
666;metal energy;(159, 165);;inglês;sp;1;39.9;39.9
667;fighting energy;(160, 165);;inglês;nm;2;2.5;5.0
668;fire energy;(161, 165);;inglês;nm;1;25.9;25.9
669;fire energy;(161, 165);;inglês;sp;1;1.71;1.71
670;grass energy;(162, 165);;inglês;nm;2;7.65;15.3
671;lightning energy;(163, 165);;inglês;nm;2;4.05;8.1
672;psychic energy;(164, 165);;inglês;m;1;;
673;psychic energy;(164, 165);;inglês;nm;15;4.9;73.5
674;water energy;(165, 165);;inglês;nm;2;25.9;51.8
675;team aqua's crawdaunt;(2, 95);foil;inglês;nm;1;59.9;59.9
676;team aqua's kyogre;(3, 95);foil;inglês;m;1;;
677;team magma's claydol;(8, 95);reverse foil;inglês;nm;1;;
678;team aqua's mightyena;(15, 95);;inglês;nm;1;5.0;5.0
679;team aqua's seviper;(17, 95);;inglês;d;1;;
680;team aqua's lanturn;(28, 95);;inglês;nm;1;1.5;1.5
681;team aqua's mightyena;(30, 95);;inglês;m;1;;
682;team aqua's sealeo;(31, 95);;inglês;nm;1;1.5;1.5
683;team magma's houndoom;(34, 95);;inglês;m;1;;
684;team magma's houndoom;(34, 95);;inglês;nm;1;0.99;0.99
685;team magma's houndour;(35, 95);;inglês;nm;1;2.5;2.5
686;team magma's rhyhorn;(38, 95);;inglês;nm;1;2.5;2.5
687;bulbasaur;(39, 95);;inglês;nm;1;39.9;39.9
688;cubone;(40, 95);;inglês;nm;1;0.9;0.9
689;cubone;(40, 95);;inglês;sp;1;;
690;jigglypuff;(41, 95);;inglês;nm;2;0.9;1.8
691;pikachu;(43, 95);;inglês;m;1;;
692;slowpoke;(45, 95);;inglês;m;1;;
693;team aqua's carvanha;(48, 95);;inglês;nm;1;0.9;0.9
694;team aqua's electrike;(53, 95);;inglês;nm;2;2.5;5.0
695;team aqua's poochyena;(55, 95);;inglês;nm;1;0.9;0.9
696;team aqua's spheal;(56, 95);;inglês;nm;1;0.49;0.49
697;team magma's baltoy;(60, 95);;inglês;m;1;;
698;team magma's baltoy;(60, 95);;inglês;nm;1;0.49;0.49
699;team magma's houndour;(62, 95);reverse foil;inglês;nm;2;;
700;team magma's numel;(64, 95);;inglês;sp;1;;
701;team magma's poochyena;(65, 95);;inglês;m;1;;
702;team magma's poochyena;(66, 95);;inglês;nm;1;0.5;0.5
703;team aqua schemer;(69, 95);;inglês;nm;2;1.5;3.0
704;team magma belt;(81, 95);reverse foil;inglês;nm;1;;
705;team magma hideout;(83, 95);;inglês;nm;1;13.9;13.9
706;tentacruel;('H26', 'H32');foil;inglês;m;1;;
707;scizor;(32, 147);;inglês;nm;1;;
708;magnemite;(52, 147);reverse foil;inglês;nm;1;190.0;190.0
709;doduo;(73, 147);;inglês;sp;1;2.5;2.5
710;exeggcute;(77, 147);;inglês;nm;1;2.9;2.9
711;miltank;(94, 147);;inglês;nm;1;19.9;19.9
712;sentret;(107, 147);;inglês;nm;1;7.9;7.9
713;time shard;(135, 147);;inglês;nm;1;5.9;5.9
714;warp energy;(147, 147);;inglês;sp;1;20.0;20.0
715;camerupt;(4, 107);reverse foil;português;d;1;7.5;7.5
716;camerupt;(4, 107);foil;português;nm;2;9.5;19.0
717;ludicolo;(10, 107);foil;português;nm;1;24.95;24.95
718;ninjask;(13, 107);reverse foil;português;nm;1;29.5;29.5
719;shedinja;(14, 107);foil;português;m;1;;
720;slaking;(15, 107);reverse foil;português;m;1;;
721;deoxys;(16, 107);;português;m;1;;
722;deoxys;(17, 107);;português;nm;1;4.49;4.49
723;deoxys;(18, 107);;português;nm;1;4.0;4.0
724;ludicolo;(19, 107);reverse foil;português;nm;1;34.5;34.5
725;ludicolo;(19, 107);;português;nm;1;2.49;2.49
726;magcargo;(20, 107);;português;nm;1;6.49;6.49
727;pelipper;(21, 107);reverse foil;português;m;1;;
728;pelipper;(21, 107);;português;nm;1;0.99;0.99
729;rayquaza;(22, 107);;português;d;1;1.0;1.0
730;sableye;(23, 107);;português;nm;1;2.0;2.0
731;seaking;(24, 107);;português;m;1;;
732;shiftry;(25, 107);;português;nm;1;1.99;1.99
733;tropius;(27, 107);;português;nm;2;1.0;2.0
734;golbat;(31, 107);;português;nm;1;2.0;2.0
735;lombre;(33, 107);;português;nm;1;2.0;2.0
736;manectric;(38, 107);;português;nm;2;1.79;3.58
737;masquerain;(39, 107);;português;m;1;;
738;masquerain;(39, 107);;português;nm;1;3.5;3.5
739;minun;(41, 107);;português;nm;2;2.0;4.0
740;silcoon;(46, 107);;português;m;1;;
741;silcoon;(46, 107);;português;nm;1;2.0;2.0
742;solrock;(47, 107);;português;sp;1;1.7;1.7
743;starmie;(48, 107);;português;m;1;;
744;swellow;(49, 107);reverse foil;português;m;1;;
745;bagon;(52, 107);;português;nm;2;0.32;0.64
746;bagon;(52, 107);reverse foil;português;m;1;;
747;baltoy;(53, 107);;português;nm;1;1.25;1.25
748;baltoy;(53, 107);;português;sp;1;1.0;1.0
749;beldum;(55, 107);;português;nm;4;1.0;4.0
750;carvanha;(56, 107);;português;nm;4;1.25;5.0
751;corphish;(57, 107);;português;nm;1;0.99;0.99
752;duskull;(58, 107);;português;nm;3;1.25;3.75
753;goldeen;(61, 107);;português;nm;4;0.72;2.88
754;koffing;(62, 107);reverse foil;português;nm;1;9.5;9.5
755;lotad;(63, 107);;português;nm;4;0.23;0.92
756;magikarp;(64, 107);;português;nm;2;1.0;2.0
757;makuhita;(65, 107);;português;nm;1;0.89;0.89
758;natu;(66, 107);;português;nm;2;0.99;1.98
759;numel;(68, 107);;português;nm;4;1.0;4.0
760;phanpy;(69, 107);;português;nm;2;1.5;3.0
761;poochyena;(70, 107);;português;nm;2;1.13;2.26
762;seedot;(71, 107);;português;nm;4;0.29;1.16
763;shroomish;(72, 107);;português;nm;3;1.5;4.5
764;slakoth;(73, 107);;português;nm;1;1.25;1.25
765;slugma;(74, 107);;português;nm;2;1.25;2.5
766;slugma;(75, 107);;português;nm;1;;
767;spoink;(76, 107);;português;nm;1;0.44;0.44
768;staryu;(77, 107);reverse foil;português;m;1;;
769;surskit;(78, 107);;português;nm;1;1.25;1.25
770;swablu;(79, 107);;português;nm;1;0.89;0.89
771;taillow;(80, 107);;português;sp;1;0.24;0.24
772;wurmple;(82, 107);;português;nm;2;0.99;1.98
773;zubat;(83, 107);;português;nm;3;1.25;3.75
774;zubat;(83, 107);;português;sp;1;1.0;1.0
775;balloon berry;(84, 107);;português;sp;1;;
776;lady outing;(87, 107);;português;nm;1;3.0;3.0
777;master ball;(88, 107);;português;d;1;;
778;meteor falls;(89, 107);;português;nm;2;2.9;5.8
779;meteor falls;(89, 107);;português;sp;1;2.7;2.7
780;professor cozmo's discovery;(90, 107);;português;nm;1;2.0;2.0
781;heal energy;(94, 107);;português;nm;1;;
782;scramble energy;(95, 107);;português;m;1;;
783;deoxys ex;(97, 107);foil;português;nm;1;;
784;camerupt;(4, 109);foil;inglês;nm;1;24.95;24.95
785;manectric;(9, 109);foil;inglês;sp;1;2.9;2.9
786;wailord;(14, 109);foil;inglês;nm;2;;
787;blaziken;(15, 109);;inglês;m;1;;
788;blaziken;(15, 109);;inglês;nm;1;2.0;2.0
789;donphan;(17, 109);;inglês;sp;1;1.0;1.0
790;nosepass;(18, 109);;português;nm;1;0.49;0.49
791;pelipper;(19, 109);;inglês;nm;1;3.99;3.99
792;sceptile;(20, 109);;português;nm;1;3.15;3.15
793;swampert;(23, 109);reverse foil;inglês;sp;1;;
794;swampert;(23, 109);;inglês;nm;1;2.45;2.45
795;weezing;(24, 109);;inglês;nm;1;1.75;1.75
796;combusken;(27, 109);;inglês;nm;1;0.99;0.99
797;combusken;(28, 109);;inglês;nm;1;;
798;delcatty;(29, 109);;inglês;nm;2;1.99;3.98
799;electrike;(30, 109);;inglês;sp;1;;
800;grovyle;(31, 109);;inglês;nm;2;5.0;10.0
801;hariyama;(33, 109);;inglês;nm;2;1.99;3.98
802;hariyama;(33, 109);reverse foil;português;d;1;5.9;5.9
803;marshtomp;(40, 109);;inglês;nm;2;;
804;marshtomp;(40, 109);reverse foil;inglês;d;1;;
805;silcoon;(43, 109);;inglês;nm;1;;
806;skitty;(44, 109);;inglês;sp;1;;
807;swellow;(46, 109);;inglês;nm;3;1.99;5.97
808;wailmer;(48, 109);;inglês;nm;2;1.99;3.98
809;aron;(49, 109);;inglês;nm;2;2.45;4.9
810;aron;(49, 109);;inglês;sp;1;;
811;aron;(50, 109);;inglês;sp;1;;
812;electrike;(53, 109);;português;nm;1;0.72;0.72
813;koffing;(54, 109);;inglês;nm;4;0.2;0.8
814;goldeen;(55, 109);;inglês;nm;1;0.99;0.99
815;makuhita;(56, 109);reverse foil;inglês;nm;1;;
816;makuhita;(56, 109);;inglês;nm;2;0.99;1.98
817;makuhita;(56, 109);;inglês;sp;1;2.0;2.0
818;makuhita;(56, 109);;inglês;mp;1;;
819;makuhita;(57, 109);;inglês;nm;1;0.4;0.4
820;mudkip;(59, 109);;inglês;nm;1;;
821;mudkip;(60, 109);;inglês;nm;5;7.9;39.5
822;phanpy;(62, 109);;inglês;nm;1;;
823;poochyena;(63, 109);;inglês;nm;2;0.99;1.98
824;shroomish;(69, 109);;inglês;nm;3;2.0;6.0
825;skitty;(70, 109);;inglês;nm;4;0.2;0.8
826;taillow;(72, 109);;inglês;nm;3;0.2;0.6
827;torchic;(73, 109);;inglês;nm;5;;
828;torchic;(74, 109);;inglês;nm;1;2.45;2.45
829;torchic;(74, 109);;português;nm;1;1.0;1.0
830;torchic;(74, 109);;português;sp;1;0.3;0.3
831;treecko;(75, 109);;inglês;nm;4;0.4;1.6
832;treecko;(76, 109);;inglês;nm;2;0.99;1.98
833;wingull;(77, 109);;inglês;nm;2;1.7;3.4
834;wingull;(77, 109);;inglês;sp;2;0.4;0.8
835;zigzagoon;(79, 109);;inglês;nm;1;5.0;5.0
836;energy removal 2;(80, 109);;inglês;nm;3;1.99;5.97
837;energy switch;(82, 109);;português;nm;1;;
838;lum berry;(84, 109);;inglês;nm;1;0.49;0.49
839;poké ball;(86, 109);;inglês;nm;2;0.1;0.2
840;pokémon reversal;(87, 109);;inglês;nm;2;2.95;5.9
841;pokénav;(88, 109);;inglês;nm;2;0.49;0.98
842;professor birch;(89, 109);;inglês;nm;1;2.88;2.88
843;professor birch;(89, 109);;inglês;d;1;;
844;energy search;(90, 109);;inglês;nm;9;0.2;1.8
845;potion;(91, 109);;inglês;nm;9;0.1;0.9
846;darkness energy;(93, 109);reverse foil;inglês;nm;1;;
847;metal energy;(94, 109);;inglês;sp;1;2.0;2.0
848;rainbow energy;(95, 109);;inglês;nm;2;12.9;25.8
849;grass energy;(104, 109);;inglês;nm;58;2.03;117.74
850;grass energy;(104, 109);;inglês;sp;4;0.4;1.6
851;fighting energy;(105, 109);;inglês;nm;31;1.13;35.03
852;fighting energy;(105, 109);;inglês;sp;5;0.77;3.85
853;water energy;(106, 109);;inglês;nm;43;0.5;21.5
854;water energy;(106, 109);;inglês;sp;11;0.36;3.96
855;water energy;(106, 109);;inglês;mp;6;0.23;1.38
856;psychic energy;(107, 109);;inglês;nm;30;1.79;53.7
857;psychic energy;(107, 109);;inglês;sp;5;;
858;psychic energy;(107, 109);;inglês;d;1;;
859;fire energy;(108, 109);;inglês;nm;35;0.89;31.15
860;fire energy;(108, 109);;inglês;sp;13;0.4;5.2
861;fire energy;(108, 109);;inglês;d;1;;
862;lightning energy;(109, 109);;inglês;nm;30;1.43;42.9
863;lightning energy;(109, 109);;inglês;sp;3;0.5;1.5
864;lightning energy;(109, 109);;inglês;mp;11;;
865;lightning energy;(109, 109);;inglês;d;2;;
866;piloswine;(13, 109);foil;português;nm;1;29.5;29.5
867;dark dragonite;(15, 109);;português;m;1;;
868;dark dragonite;(15, 109);;português;nm;1;;
869;dark raticate;(17, 109);;português;nm;1;3.49;3.49
870;dark tyranitar;(20, 109);;português;nm;1;;
871;delibird;(21, 109);;português;m;1;;
872;furret;(22, 109);;português;nm;1;4.0;4.0
873;ledian;(23, 109);;português;nm;2;3.0;6.0
874;magby;(24, 109);;português;nm;1;3.9;3.9
875;quagsire;(26, 109);;português;nm;1;1.99;1.99
876;qwilfish;(27, 109);;português;nm;1;2.66;2.66
877;yanma;(28, 109);;português;nm;1;3.0;3.0
878;yanma;(28, 109);;português;sp;1;2.7;2.7
879;dark arbok;(29, 109);;português;nm;1;2.89;2.89
880;dark dragonair;(32, 109);;português;nm;1;;
881;dark flaaffy;(33, 109);;português;nm;1;5.39;5.39
882;dark flaaffy;(33, 109);;português;sp;1;5.7;5.7
883;dark golbat;(34, 109);reverse foil;português;nm;1;;
884;dark houndoom;(37, 109);;português;nm;1;5.0;5.0
885;dark magneton;(39, 109);;português;nm;1;3.99;3.99
886;dark pupitar;(41, 109);;português;nm;1;;
887;heracross;(43, 109);;português;nm;2;;
888;magmar;(44, 109);;português;nm;1;5.7;5.7
889;rocket's wobbuffet;(47, 109);;português;nm;1;2.69;2.69
890;cubone;(51, 109);;português;nm;3;0.6;1.8
891;cubone;(51, 109);reverse foil;português;nm;1;;
892;dratini;(53, 109);;português;nm;2;1.0;2.0
893;dratini;(53, 109);reverse foil;português;nm;1;;
894;ekans;(55, 109);;português;nm;3;1.79;5.37
895;grimer;(56, 109);;português;nm;3;0.49;1.47
896;hoppip;(57, 109);;português;nm;1;0.4;0.4
897;koffing;(61, 109);;português;nm;1;1.62;1.62
898;larvitar;(62, 109);;português;nm;1;0.8;0.8
899;larvitar;(63, 109);;português;nm;1;0.49;0.49
900;ledyba;(64, 109);;português;nm;2;0.6;1.2
901;magikarp;(65, 109);;português;nm;2;0.99;1.98
902;magnemite;(66, 109);;português;nm;2;0.6;1.2
903;mareep;(67, 109);;português;sp;1;0.49;0.49
904;marill;(68, 109);;português;nm;1;1.0;1.0
905;onix;(69, 109);;português;nm;3;;
906;psyduck;(70, 109);;português;nm;3;0.49;1.47
907;remoraid;(73, 109);;português;sp;1;0.39;0.39
908;sandshrew;(74, 109);;português;nm;3;0.6;1.8
909;slowpoke;(76, 109);;português;nm;2;0.6;1.2
910;slowpoke;(76, 109);;português;sp;1;0.35;0.35
911;slowpoke;(76, 109);reverse foil;português;nm;1;;
912;spinarak;(78, 109);;português;nm;1;0.6;0.6
913;spinarak;(78, 109);;português;sp;1;0.45;0.45
914;swinub;(79, 109);;português;nm;2;;
915;swinub;(79, 109);;português;sp;1;;
916;voltorb;(80, 109);;português;nm;3;0.6;1.8
917;wooper;(81, 109);;português;nm;1;0.49;0.49
918;zubat;(82, 109);;português;nm;2;3.15;6.3
919;zubat;(82, 109);;português;sp;1;0.45;0.45
920;rocket's admin.;(86, 109);;português;nm;1;;
921;rocket's tricky gym;(90, 109);;português;nm;1;4.0;4.0
922;surprise! time machine;(91, 109);;português;nm;2;;
923;dark metal energy;(94, 109);reverse foil;português;m;1;;
924;r energy;(95, 109);;português;sp;1;;
925;rocket's entei ex;(97, 109);foil;português;m;1;;
926;rocket's entei ex;(97, 109);foil;português;nm;1;799.95;799.95
927;blaziken;(1, 106);foil;português;nm;1;;
928;exploud;(3, 106);foil;português;mp;1;4.0;4.0
929;manectric;(7, 106);foil;português;nm;1;17.91;17.91
930;manectric;(7, 106);foil;português;sp;1;2.7;2.7
931;kyogre;(15, 106);;português;nm;1;4.49;4.49
932;manectric;(16, 106);;português;sp;1;0.99;0.99
933;nosepass;(17, 106);;português;nm;1;0.7;0.7
934;nosepass;(17, 106);;inglês;nm;1;2.0;2.0
935;relicanth;(18, 106);;português;sp;1;1.0;1.0
936;seviper;(20, 106);;português;nm;2;1.67;3.34
937;camerupt;(23, 106);;português;nm;1;1.0;1.0
938;camerupt;(23, 106);;português;sp;1;0.7;0.7
939;camerupt;(23, 106);;inglês;nm;1;1.0;1.0
940;camerupt;(23, 106);reverse foil;português;nm;1;;
941;combusken;(25, 106);;inglês;nm;1;1.3;1.3
942;combusken;(25, 106);reverse foil;português;nm;1;24.95;24.95
943;dodrio;(26, 106);;português;nm;1;1.5;1.5
944;electrode;(27, 106);;português;nm;2;0.75;1.5
945;grovyle;(28, 106);;português;nm;1;1.5;1.5
946;grovyle;(28, 106);;português;sp;1;1.0;1.0
947;grumpig;(29, 106);;português;nm;1;0.72;0.72
948;grumpig;(30, 106);;inglês;nm;1;1.0;1.0
949;kirlia;(33, 106);;português;nm;2;;
950;loudred;(35, 106);;português;sp;1;0.49;0.49
951;minun;(37, 106);;português;nm;1;1.5;1.5
952;swalot;(40, 106);;português;nm;1;;
953;swellow;(41, 106);;português;nm;1;0.86;0.86
954;volbeat;(42, 106);reverse foil;português;nm;1;9.5;9.5
955;baltoy;(43, 106);;português;nm;1;0.26;0.26
